season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,200746,LaMarcus Aldridge,SAS,2184,1.71,0.93,2.64,1.485,1.392,2.84,1.54,4.38,2.52,1.63,0.89,33
2018,200752,Rudy Gay,SAS,1033,0.84,0.19,1.03,1.456,1.461,0.66,0.15,0.81,0.98,0.8,0.18,86
2018,200755,JJ Redick,PHI,1866,1.19,0.78,1.97,1.46,1.391,1.74,1.13,2.87,1.88,1.14,0.74,48
2018,200757,Thabo Sefolosha,UTA,674,-0.18,0.94,0.76,1.139,1.484,-0.09,0.47,0.38,0.73,-0.17,0.9,107
2018,200765,Rajon Rondo,NOP,1531,-0.46,-0.71,-1.17,1.246,1.452,-0.5,-0.76,-1.26,-1.12,-0.44,-0.68,223
2018,200768,Kyle Lowry,TOR,2257,3.75,2.14,5.89,1.469,1.349,6.19,3.52,9.7,5.63,3.59,2.04,10
2018,200782,P.J. Tucker,HOU,1991,-0.77,-0.41,-1.18,1.044,1.433,-1.18,-0.62,-1.8,-1.13,-0.74,-0.39,260
2018,200794,Paul Millsap,DEN,1011,2.16,0.96,3.11,1.309,1.453,1.61,0.71,2.32,2.98,2.06,0.91,54
2018,200826,J.J. Barea,DAL,1381,0.01,-0.24,-0.23,1.364,1.579,0.02,-0.25,-0.23,-0.22,0.01,-0.23,147
2018,201142,Kevin Durant,GSW,2059,6.51,2.68,9.18,1.618,1.416,9.97,4.1,14.07,8.78,6.22,2.56,4
2018,201143,Al Horford,BOS,2016,1.92,2.35,4.27,1.377,1.358,2.79,3.41,6.2,4.08,1.84,2.25,22
2018,201144,Mike Conley,MEM,316,2.69,1.47,4.16,1.399,1.434,0.62,0.34,0.95,3.97,2.57,1.4,83
2018,201145,Jeff Green,CLE,1601,-2.22,-0.97,-3.19,1.356,1.45,-2.83,-1.24,-4.08,-3.05,-2.12,-0.93,319
